result,IsPublicOrPrivate
1,Public
1,Public
1,Private
1,Private
0,Public
0,Private
1,Public
1,Public
1,Private
1,Private
0,Private
0,Private
0,Private
0,Private
0,Private
0,Public
0,Private
0,Public
0,Private
1,Public
0,Public
1,Private
1,Private
1,Private
1,Private
0,Private
0,Public
0,Private
0,Private
1,Private
0,Private
0,Private
1,Public
1,Private
1,Public
1,Private
1,Public
1,Private
1,Private
1,Private
0,Public
0,Private
1,Public
1,Private
0,Public
0,Private
1,Public
1,Private
1,Public
1,Private
1,Private
0,Public
0,Public
0,Private
1,Private
1,Private
1,Private
1,Private
1,Public
1,Private
0,Private
1,Private
0,Private
0,Private
1,Private
1,Private
0,Public
0,Private
0,Private
0,Private
1,Private
1,Public
1,Private
1,Public
1,Public
0,Private
1,Private
1,Public
1,Private
1,Private
0,Public
0,Private
0,Private
0,Private
0,Private
0,Private
0,Private
1,Public
1,Private
0,Public
1,Private
1,Private
0,Public
0,Public
1,Private
0,Private
1,Private
1,Private
1,Private
1,Private
1,Private
1,Private
1,Private
0,Public
0,Public
0,Private
0,Private
1,Private
1,Private
0,Private
0,Private
1,Private
0,Private
1,Private
1,Private
0,Private
1,Private
0,Private
1,Private
0,Private
0,Private
0,Public
1,Private
1,Private
0,Public
0,Private
0,Private
1,Private
0,Private
0,Private
0,Private
0,Private
0,Private
0,Private
0,Private
1,Public
0,Private
1,Private
1,Private
1,Public
1,Public
1,Private
1,Private
0,Private
1,Private
0,Private
1,Private
1,Private
0,Private
0,Private
0,Private
1,Public
1,Private
1,Public
1,Private
1,Public
1,Public
1,Private
0,Private
0,Private
0,Public
0,Private
0,Private
1,Private
1,Private
1,Public
1,Private
1,Private
0,Public
1,Public
1,Private
1,Private
0,Private
1,Private
0,Private
1,Private
0,Private
0,Private
1,Public
0,Private
0,Public
1,Public
1,Private
0,Private
1,Private
0,Private
1,Private
0,Private
1,Private
0,Private
0,Private
0,Private
1,Private
1,Private
1,Private
0,Private
1,Private
1,Private
1,Private
1,Public
1,Private
0,Private
0,Private
1,Private
1,Private
1,Public
1,Private
1,Private
1,Private
0,Private
1,Private
1,Private
1,Private
0,Private
0,Private
1,Private
1,Private
1,Private
1,Private
0,Private
1,Private
0,Public
0,Private
1,Private
0,Private
0,Public
0,Public
1,Private
0,Private
1,Private
1,Private
1,Private
1,Private
0,Public
1,Public
1,Private
1,Public
0,Private
1,Public
0,Private
0,Private
0,Private
1,Public
0,Public
1,Public
1,Public
0,Public
0,Private
1,Private
0,Private
1,Public
0,Private
0,Public
1,Private
1,Private
0,Private
0,Private
1,Private
1,Public
0,Private
0,Private
1,Private
0,Private
0,Private
0,Public
1,Private
1,Private
0,Public
1,Private
1,Private
1,Private
1,Private
0,Private
0,Public
0,Public
0,Private
1,Private
0,Private
1,Private
1,Private
0,Private
0,Private
1,Public
0,Private
1,Private
1,Private
1,Private
1,Private
1,Public
0,Private
1,Private
0,Private
0,Private
1,Private
0,Private
0,Public
0,Private
0,Private
1,Public
1,Private
1,Private
0,Private
1,Private
1,Private
1,Private
1,Public
